iter	Passed	Remaining
809	1050	246
810	1051	245
811	1053	243
812	1054	242
813	1055	241
814	1056	239
815	1058	238
816	1060	237
817	1061	236
818	1066	235
819	1068	234
820	1069	233
821	1071	232
822	1072	230
823	1074	229
824	1075	228
825	1076	226
826	1079	225
827	1080	224
828	1081	223
829	1083	221
830	1084	220
831	1085	219
832	1087	218
833	1089	216
834	1090	215
835	1091	214
836	1093	212
837	1094	211
838	1095	210
839	1096	208
840	1097	207
841	1098	206
842	1099	204
843	1099	203
844	1100	201
845	1101	200
846	1102	199
847	1103	197
848	1104	196
849	1104	194
850	1105	193
851	1106	192
852	1108	190
853	1109	189
854	1109	188
855	1110	186
856	1111	185
857	1112	184
858	1113	182
859	1114	181
860	1114	179
861	1115	178
862	1116	177
863	1117	175
864	1118	174
865	1119	173
866	1119	171
867	1120	170
868	1121	169
869	1123	167
870	1124	166
871	1125	165
872	1125	163
873	1126	162
874	1127	161
875	1128	159
876	1129	158
877	1130	157
878	1130	155
879	1131	154
880	1132	152
881	1133	151
882	1134	150
883	1134	148
884	1135	147
885	1136	146
886	1138	145
887	1139	143
888	1139	142
889	1140	140
890	1141	139
891	1142	138
892	1143	136
893	1144	135
894	1144	134
895	1145	132
896	1146	131
897	1147	130
898	1148	128
899	1149	127
900	1149	126
901	1150	125
902	1151	123
903	1153	122
904	1154	121
905	1155	119
906	1155	118
907	1156	117
908	1157	115
909	1158	114
910	1160	113
911	1161	112
912	1162	110
913	1163	109
914	1164	108
915	1165	106
916	1166	105
917	1167	104
918	1168	103
919	1169	101
920	1170	100
921	1171	99
922	1172	97
923	1173	96
924	1174	95
925	1175	93
926	1176	92
927	1177	91
928	1177	90
929	1178	88
930	1179	87
931	1180	86
932	1181	84
933	1183	83
934	1184	82
935	1185	81
936	1186	79
937	1187	78
938	1188	77
939	1189	75
940	1189	74
941	1190	73
942	1191	72
943	1192	70
944	1193	69
945	1193	68
946	1194	66
947	1195	65
948	1196	64
949	1198	63
950	1199	61
951	1199	60
952	1200	59
953	1201	57
954	1202	56
955	1203	55
956	1203	54
957	1204	52
958	1205	51
959	1206	50
960	1207	48
961	1208	47
962	1208	46
963	1209	45
964	1210	43
965	1211	42
966	1213	41
967	1214	40
968	1214	38
969	1215	37
970	1216	36
971	1217	35
972	1218	33
973	1219	32
974	1220	31
975	1221	30
976	1222	28
977	1223	27
978	1224	26
979	1225	25
980	1226	23
981	1228	22
982	1228	21
983	1229	19
984	1230	18
985	1231	17
986	1232	16
987	1232	14
988	1233	13
989	1234	12
990	1235	11
991	1236	9
992	1236	8
993	1237	7
994	1238	6
995	1239	4
996	1240	3
997	1240	2
998	1242	1
999	1243	0
